[AgePredModel] load_data: start loading...
[AgePredModel] load_data: Done! Get 339123 for train and 18660 for test!
[AgePredModel] load_data: loading finished !
[AgePredModel] train_model: start training...
[train_model] best weight file found, try to load ...
[train_model] Weights Load Successfull!
Epoch 0/127
----------
0.1% 50000/339123 		 Gender Loss 0.4865 		 Age MAE 7.45 		 Acc 0.7950 		 ETA 1239s
0.1% 50400/339123 		 Gender Loss 0.4603 		 Age MAE 7.21 		 Acc 0.8200 		 ETA 1237s
0.1% 50800/339123 		 Gender Loss 0.4555 		 Age MAE 7.60 		 Acc 0.8175 		 ETA 1235s
0.2% 51200/339123 		 Gender Loss 0.5078 		 Age MAE 7.69 		 Acc 0.7825 		 ETA 1234s
0.2% 51600/339123 		 Gender Loss 0.4625 		 Age MAE 7.14 		 Acc 0.8100 		 ETA 1232s
0.2% 52000/339123 		 Gender Loss 0.4809 		 Age MAE 7.26 		 Acc 0.8050 		 ETA 1230s
0.2% 52400/339123 		 Gender Loss 0.4801 		 Age MAE 7.64 		 Acc 0.8100 		 ETA 1228s
0.2% 52800/339123 		 Gender Loss 0.4614 		 Age MAE 7.30 		 Acc 0.8150 		 ETA 1226s
0.2% 53200/339123 		 Gender Loss 0.4976 		 Age MAE 7.73 		 Acc 0.7850 		 ETA 1224s
0.2% 53600/339123 		 Gender Loss 0.4966 		 Age MAE 7.85 		 Acc 0.7775 		 ETA 1223s
0.2% 54000/339123 		 Gender Loss 0.4879 		 Age MAE 7.38 		 Acc 0.7875 		 ETA 1221s
0.2% 54400/339123 		 Gender Loss 0.4694 		 Age MAE 7.74 		 Acc 0.8200 		 ETA 1219s
0.2% 54800/339123 		 Gender Loss 0.4644 		 Age MAE 7.89 		 Acc 0.8025 		 ETA 1217s
0.2% 55200/339123 		 Gender Loss 0.5288 		 Age MAE 8.08 		 Acc 0.7725 		 ETA 1215s
0.2% 55600/339123 		 Gender Loss 0.4692 		 Age MAE 7.51 		 Acc 0.8050 		 ETA 1213s
0.2% 56000/339123 		 Gender Loss 0.5058 		 Age MAE 7.71 		 Acc 0.7850 		 ETA 1212s
0.2% 56400/339123 		 Gender Loss 0.4779 		 Age MAE 7.75 		 Acc 0.8075 		 ETA 1210s
0.2% 56800/339123 		 Gender Loss 0.4719 		 Age MAE 7.67 		 Acc 0.7900 		 ETA 1208s
0.2% 57200/339123 		 Gender Loss 0.4455 		 Age MAE 7.21 		 Acc 0.8350 		 ETA 1206s
0.2% 57600/339123 		 Gender Loss 0.4903 		 Age MAE 7.77 		 Acc 0.7850 		 ETA 1204s
0.2% 58000/339123 		 Gender Loss 0.4588 		 Age MAE 7.74 		 Acc 0.8075 		 ETA 1203s
0.2% 58400/339123 		 Gender Loss 0.4691 		 Age MAE 7.75 		 Acc 0.8000 		 ETA 1201s
0.2% 58800/339123 		 Gender Loss 0.4893 		 Age MAE 7.40 		 Acc 0.8150 		 ETA 1199s
0.2% 59200/339123 		 Gender Loss 0.4755 		 Age MAE 7.74 		 Acc 0.8150 		 ETA 1197s
0.2% 59600/339123 		 Gender Loss 0.4375 		 Age MAE 7.65 		 Acc 0.8275 		 ETA 1195s
0.2% 60000/339123 		 Gender Loss 0.5230 		 Age MAE 7.83 		 Acc 0.7725 		 ETA 1194s
0.2% 60400/339123 		 Gender Loss 0.4859 		 Age MAE 7.83 		 Acc 0.8025 		 ETA 1192s
0.2% 60800/339123 		 Gender Loss 0.4362 		 Age MAE 7.45 		 Acc 0.8400 		 ETA 1190s
0.2% 61200/339123 		 Gender Loss 0.5109 		 Age MAE 7.05 		 Acc 0.7775 		 ETA 1188s
0.2% 61600/339123 		 Gender Loss 0.4979 		 Age MAE 7.45 		 Acc 0.7950 		 ETA 1186s
0.2% 62000/339123 		 Gender Loss 0.4488 		 Age MAE 7.75 		 Acc 0.8275 		 ETA 1185s
0.2% 62400/339123 		 Gender Loss 0.4920 		 Age MAE 7.68 		 Acc 0.7750 		 ETA 1183s
0.2% 62800/339123 		 Gender Loss 0.4570 		 Age MAE 7.21 		 Acc 0.8125 		 ETA 1181s
0.2% 63200/339123 		 Gender Loss 0.4379 		 Age MAE 7.29 		 Acc 0.8050 		 ETA 1179s
0.2% 63600/339123 		 Gender Loss 0.4805 		 Age MAE 7.90 		 Acc 0.7875 		 ETA 1177s
0.2% 64000/339123 		 Gender Loss 0.5195 		 Age MAE 7.47 		 Acc 0.7800 		 ETA 1176s
0.2% 64400/339123 		 Gender Loss 0.5201 		 Age MAE 7.16 		 Acc 0.7600 		 ETA 1174s
0.2% 64800/339123 		 Gender Loss 0.4768 		 Age MAE 7.02 		 Acc 0.8050 		 ETA 1172s
